2026-03-25 18:07:34,278 | INFO | rag_pipeline | ✅ FAISS index créé (2 vecteurs)
2026-03-25 18:07:34,278 | INFO | rag_pipeline | 💾 Index FAISS sauvegardé
2026-03-25 18:59:41,938 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 18:59:42,218 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-25 18:59:54,332 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 18:59:54,333 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:19,164 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 19:44:19,300 | INFO | rag_pipeline | ✅ Dataset chargé : 19 questions
2026-03-25 19:44:19,375 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-25 19:44:27,288 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:27,288 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:30,335 | INFO | rag_pipeline | Question ID 1 -> Success: False
2026-03-25 19:44:30,670 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:30,671 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:32,784 | INFO | rag_pipeline | Question ID 2 -> Success: False
2026-03-25 19:44:33,178 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:33,178 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:35,042 | INFO | rag_pipeline | Question ID 3 -> Success: False
2026-03-25 19:44:35,361 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:35,361 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:36,470 | INFO | rag_pipeline | Question ID 4 -> Success: False
2026-03-25 19:44:36,887 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:36,888 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:39,029 | INFO | rag_pipeline | Question ID 5 -> Success: False
2026-03-25 19:44:39,444 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:39,445 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:41,282 | INFO | rag_pipeline | Question ID 6 -> Success: False
2026-03-25 19:44:41,583 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:41,596 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:44,261 | INFO | rag_pipeline | Question ID 7 -> Success: True
2026-03-25 19:44:44,669 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:44,671 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:44:47,095 | INFO | rag_pipeline | Question ID 8 -> Success: True
2026-03-25 19:44:47,674 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:47,676 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:49,556 | INFO | rag_pipeline | Question ID 9 -> Success: False
2026-03-25 19:44:49,920 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:49,920 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:51,901 | INFO | rag_pipeline | Question ID 10 -> Success: True
2026-03-25 19:44:52,396 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:52,397 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:54,500 | INFO | rag_pipeline | Question ID 11 -> Success: True
2026-03-25 19:44:54,972 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:54,974 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:44:56,952 | INFO | rag_pipeline | Question ID 12 -> Success: True
2026-03-25 19:44:57,346 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:44:57,346 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:45:00,848 | INFO | rag_pipeline | Question ID 13 -> Success: True
2026-03-25 19:45:01,668 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:01,669 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:45:03,210 | INFO | rag_pipeline | Question ID 14 -> Success: True
2026-03-25 19:45:03,541 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:03,542 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:45:04,653 | INFO | rag_pipeline | Question ID 15 -> Success: True
2026-03-25 19:45:05,042 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:05,042 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:45:05,765 | INFO | rag_pipeline | Question ID 16 -> Success: True
2026-03-25 19:45:06,175 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:06,175 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:45:08,355 | INFO | rag_pipeline | Question ID 17 -> Success: True
2026-03-25 19:45:08,918 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:08,920 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:45:11,523 | INFO | rag_pipeline | Question ID 18 -> Success: False
2026-03-25 19:45:12,110 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:45:12,110 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:45:14,418 | INFO | rag_pipeline | Question ID 19 -> Success: True
2026-03-25 19:45:14,435 | INFO | rag_pipeline | ✅ Évaluation terminée. Résultats sauvegardés dans evaluation/rag_eval_results.json
2026-03-25 19:45:14,436 | INFO | rag_pipeline | 📊 Total questions : 19
2026-03-25 19:45:14,437 | INFO | rag_pipeline | 📊 Réponses correctes : 11
2026-03-25 19:45:14,438 | INFO | rag_pipeline | 📊 Accuracy globale : 57.89%
2026-03-25 19:55:06,864 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-25 19:55:06,932 | INFO | rag_pipeline | ✅ Dataset chargé : 19 questions
2026-03-25 19:55:07,025 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-25 19:55:08,788 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:08,788 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:11,045 | INFO | rag_pipeline | Question ID 1 -> Success: True
2026-03-25 19:55:11,461 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:11,461 | INFO | rag_pipeline | 3 documents après déduplication
